,created_at,author_id,text,retweet_count,like_count,reply_count,cleaned_text,sentiment_label,bert_confidence,custom_score
0,2025-08-15 07:26:48+00:00,1055907371153649664,"@jixxauh aku sbn ga pede krn gabisa tarik full sewaktu, jadi itung2anku ga masuk 😔 yg lain gas di bbca doang biarpun belum sanggup avg down masi minus wokwok sibal",0,0,1,sbn pede krn gabisa tarik full itung2anku masuk gas bbca doang biarpun sanggup avg down masi minus wokwok sibal,negative,0.9905568361282349,-1
1,2025-08-15 07:22:58+00:00,938820511,"karena entim kemarin aktif banget, jadi mau beli saham bbca lagi 😛😛😛",0,0,0,entim kemarin aktif banget beli saham bbca,neutral,0.9628788232803345,0
2,2025-08-15 07:10:02+00:00,345252211,@Bintaangpradana @karimakayyim bagi saham BBCA buat Kari kak… satu lot aja…,0,0,1,saham bbca kari kak lot aja,neutral,0.997490644454956,0
3,2025-08-15 06:41:00+00:00,1482931891225636870,@desmondwira Wkwk karna kalo mau setir king bbca gak mampu,0,0,0,wkwk karna kalo setir king bbca gak,neutral,0.8181126713752747,0
4,2025-08-15 06:01:35+00:00,1834223664105226242,"ada yg pantau saham ini kah?
bagi dong kalo cuan 😅✌🏿
$ESSA $BBCA https://t.co/mzrTfY74bE",0,2,0,pantau saham kah kalo cuan essa bbca,positive,0.9978278279304504,1
5,2025-08-15 04:31:36+00:00,1801114265543401472,saham bbca langsung terjun payung,0,0,0,saham bbca langsung terjun payung,negative,0.9967467784881592,-1
6,2025-08-15 02:48:38+00:00,816985727137259520,"Beberapa bulan lalu banyak investor saham (include me) jual $BBRI &amp; beralih ke $BBCA sekarang tiba-tiba ada ekonom caper dan bikin panik, haruskah kita lepaskan juga $BBCA untuk menyusul $bbri [?] 

Danantara bikin rakyat merana dan boncos. 

https://t.co/FmyyRIYZtu",0,0,0,investor saham include jual bbri amp beralih bbca tibatiba ekonom caper bikin panik haruskah lepaskan bbca menyusul bbri danantara bikin rakyat merana boncos,negative,0.9977596998214722,-2
7,2025-08-15 00:36:11+00:00,210369275,"@Strategi_Bisnis So, sudah seharusnya pelayanan di dinas itu harus lebih baik dari Frontliner BBCA.",0,1,0,pelayanan dinas frontliner bbca,neutral,0.9966643452644348,0
8,2025-08-15 00:22:20+00:00,1901196976831762432,"IHSG Berpotensi Tembus Resistance Psikologis 8.000, BoW AMRT, BBCA, HRUM, UNVR
https://t.co/eUiQcFXfAb",0,0,0,ihsg berpotensi tembus resistance psikologis 8000 bow amrt bbca hrum unvr,neutral,0.9967124462127686,0
9,2025-08-14 16:04:23+00:00,1730480104621608960,penyebab anjloknya saham BBCA https://t.co/rAls5GZoS3,0,0,0,penyebab anjloknya saham bbca,neutral,0.9978269934654236,0
10,2025-08-14 15:18:41+00:00,1330678697318248448,"let see ya besok after sidang NN, saham BBCA bakal jebol di support 8650 atau bakal stay strong

i assume sih bakal stay strong",0,1,0,let see besok after sidang saham bbca jebol support 8650 stay strong assume sih stay strong,positive,0.9946987628936768,1
11,2025-08-14 14:42:12+00:00,1183050184554475522,"@nokyourbusiness @mrbudimn @investorgabut Jangan sentuh sentuh bbca gue pokok nya ya prabowo, awas aja lu",0,0,0,sentuh sentuh bbca gue pokok nya prabowo awas aja,neutral,0.9898137450218201,0
12,2025-08-14 14:38:48+00:00,1357845796251598848,"Atm sbg dana darurat, yg isinya minimal harus bisa cover biaya hidupku selama 6 bulan. Dan buat dana darurat, harus sedia cash di rumah sejuta. Klo invest, di bibit rdpu, bbri, bbca. Aku tim yg skip invest di emas krn kalo emas mending buat self reward aja beli perhiasannya hehe",0,0,0,atm sbg dana darurat isinya minimal cover biaya hidupku dana darurat sedia cash rumah sejuta klo invest bibit rdpu bbri bbca tim skip invest emas krn kalo emas mending self reward aja beli perhiasannya hehe,neutral,0.9940206408500671,0
