,created_at,author_id,text,retweet_count,like_count,reply_count,cleaned_text,sentiment_label,bert_confidence,custom_score
0,2025-08-15 09:11:33+00:00,1429796232,"IHSG ATH 8000 cuman beberapa menit doang, gk ada yg bisa dipamerin https://t.co/HqKwYYTRZp",0,0,0,ihsg ath 8000 cuman menit doang dipamerin,negative,0.998872936,0
1,2025-08-15 09:06:35+00:00,67387899,"sempat lanjut bergerak naik di sesi perdagangan pagi tadi, tapi di sore ini pergerakan ihsg terlihat kembali tertekan turun dengan posisi closing ada di bawah low bar kemarin

selengkapnya bisa di baca di sini https://t.co/UYbUQkLuzV",0,0,0,bergerak sesi perdagangan pagi sore pergerakan ihsg tertekan turun posisi closing low bar kemarin selengkapnya baca,negative,0.990798354,-1
2,2025-08-15 09:06:30+00:00,1895255815856234496,beneran ini keknya target $IHSG 8000 HUT RI 80 haha pesenan asal bapak senang,0,0,0,beneran keknya target ihsg 8000 hut haha pesenan senang,positive,0.997583866,0
3,2025-08-15 09:05:17+00:00,1849435909185490944,"IHSG 8k nggak sampai semenit, trus 17 Agustus dia mulai berbicara 
""Sebuah pencapaian paling berharga tahun ini bertepatan dengan HUT RI 80"" pasti ada pidato gini deh",0,1,0,ihsg nggak semenit trus agustus berbicara pencapaian berharga bertepatan hut pidato gini deh,neutral,0.970638454,0
4,2025-08-15 09:02:17+00:00,1323800017530875904,Prabowo menilai kinerja saham Indonesia menunjukkan perkembangan yang menggembirakan di tengah situasi global yang tak pasti. #bisnisupdate #update #bisnis #text https://t.co/poeA2poeqv,0,0,0,prabowo menilai kinerja saham indonesia perkembangan menggembirakan situasi global,positive,0.994986176,0
5,2025-08-15 08:41:18+00:00,165385438,@Stockbit IHSG juga bisa dipesan ternyata,0,0,0,ihsg dipesan,negative,0.9799366,0
6,2025-08-15 08:41:05+00:00,1139602866576842752,IHSG 8000 langsung di koreksi aowkwkwk kasian ritel nyangkut dipucuk. Banyak sekali saham diguyur hari ini kekekeke,0,0,0,ihsg 8000 langsung koreksi aowkwkwk kasian ritel nyangkut dipucuk saham diguyur kekekeke,negative,0.987877131,0
7,2025-08-15 08:39:49+00:00,1331503267814072320,"Breaking News 

IHSG mecetak rekor tertinggi di 8.017,07 pd pk 10.29 WIB, bertepatan saat Presiden Prabowo Subianto berpidato di Sidang Tahunan MPR, DPR dan DPD pada Jumat (15/8).

Sebelumnya, IHSG dibuka pada level 7.967,77 dan sempat menyentuh titik terendahnya di 7.898,37.
_ https://t.co/hlqC2U0EsJ",0,1,0,breaking news ihsg mecetak rekor tertinggi 801707 1029 wib bertepatan presiden prabowo subianto berpidato sidang tahunan mpr dpr dpd jumat 158 ihsg dibuka level 796777 menyentuh titik terendahnya 789837,neutral,0.998550236,0
8,2025-08-15 08:39:12+00:00,1767713020061556736,@BigAlphaID @prabowo Mana para pakar IHSG yg kemarin lantang🤔🤔,0,0,0,pakar ihsg kemarin lantang,neutral,0.985716701,0
9,2025-08-15 08:38:35+00:00,847372542830444544,"Setelah Sentuh 8.000, IHSG Sesi I Koreksi Tipis
https://t.co/MJJAvo0soz",0,0,0,sentuh 8000 ihsg sesi koreksi tipis,neutral,0.798581064,0
10,2025-08-15 08:37:22+00:00,311380271,"Emang tema pemerintahan kali ini adalah ""measured, expected, disappointment"". 

Contoh: Prabs janji IHSG 8000 sebelum HUT RI ke-80.

Beneran hari ini nembus 8000, tapi cuma 2 detik terus sekarang (15:37) longsor lagi even lower than yesterday😂😂",0,0,1,emang tema pemerintahan kali measured expected disappointment contoh prabs janji ihsg 8000 hut ke80 beneran nembus 8000 detik 1537 longsor even lower than yesterday,neutral,0.995786369,0
